index,fR,fGV,fSoil,year,lat_utm18n,lon_utm18n,lat_degrees,lon_degrees,photo_id,residue_type,cover_crop_residue,R_427,R_482,R_547,R_604,R_660,R_723,R_824,R_914,R_1209,R_1572,R_1661,R_1730,R_2164,R_2202,R_2259,R_2329,R_swir1,R_swir2,wi,ndti,swira,sindri,sidri,ndvi
13,0.58,0.02,0.4,5/15/2015,4300924.359,418203.2582,38.853344,-75.942673,IMG_0237.JPG,soy,No,0.087,0.100,0.135,0.167,0.193,0.242,0.290,0.314,0.395,0.426,0.426,0.416,0.371,0.369,0.359,0.342,0.426,0.366,1.163,0.076,0.252,0.014,0.010,0.200
14,0.58,0.02,0.4,5/15/2015,4300919.712,418201.9085,38.853302,-75.942688,IMG_0238.JPG,soy,No,0.088,0.100,0.136,0.169,0.195,0.244,0.290,0.315,0.395,0.426,0.427,0.417,0.373,0.370,0.359,0.343,0.427,0.367,1.162,0.075,0.251,0.015,0.011,0.198
15,0.59,0.02,0.39,5/15/2015,4300918.824,418201.8994,38.853294,-75.942688,IMG_0239.JPG,soy,No,0.088,0.100,0.136,0.169,0.195,0.244,0.290,0.315,0.395,0.426,0.427,0.417,0.373,0.370,0.359,0.343,0.427,0.367,1.162,0.075,0.251,0.015,0.011,0.198
16,0.59,0.02,0.39,5/15/2015,4300918.824,418201.8994,38.853294,-75.942688,IMG_0239B.JPG,soy,No,0.088,0.100,0.136,0.169,0.195,0.244,0.290,0.315,0.395,0.426,0.427,0.417,0.373,0.370,0.359,0.343,0.427,0.367,1.162,0.075,0.251,0.015,0.011,0.198
17,0.51,0.02,0.47,5/15/2015,4300914.607,418201.8558,38.853256,-75.942688,IMG_0240.JPG,soy,No,0.090,0.103,0.140,0.174,0.199,0.250,0.295,0.320,0.397,0.428,0.428,0.419,0.375,0.371,0.361,0.345,0.428,0.369,1.160,0.074,0.249,0.014,0.010,0.194
18,0.66,0.02,0.31,5/15/2015,4300912.506,418201.1399,38.853237,-75.942696,IMG_0241.JPG,soy,No,0.092,0.105,0.143,0.176,0.203,0.254,0.300,0.324,0.399,0.431,0.430,0.421,0.376,0.372,0.361,0.345,0.431,0.370,1.165,0.076,0.257,0.015,0.011,0.193
19,0.63,0.02,0.35,5/15/2015,4300906.631,418200.4718,38.853184,-75.942703,IMG_0242.JPG,soy,No,0.092,0.107,0.144,0.178,0.205,0.255,0.302,0.325,0.401,0.432,0.432,0.422,0.378,0.374,0.364,0.348,0.432,0.372,1.162,0.075,0.253,0.014,0.011,0.191
20,0.51,0.03,0.46,5/15/2015,4300904.862,418199.7592,38.853168,-75.942711,IMG_0243.JPG,soy,No,0.093,0.108,0.146,0.180,0.207,0.257,0.303,0.326,0.403,0.434,0.433,0.423,0.381,0.377,0.367,0.351,0.433,0.375,1.156,0.072,0.247,0.014,0.010,0.188
21,0.71,0.03,0.24,5/15/2015,4300802.647,418221.2678,38.852249,-75.942451,IMG_0248.JPG,cereal_soy,Yes,0.069,0.087,0.125,0.159,0.187,0.240,0.289,0.313,0.386,0.395,0.404,0.386,0.318,0.321,0.304,0.283,0.399,0.314,1.270,0.119,0.357,0.028,0.017,0.214
22,0.73,0.02,0.24,5/15/2015,4300803.105,418219.884,38.852253,-75.942467,IMG_0249.JPG,cereal_soy,Yes,0.069,0.087,0.125,0.159,0.187,0.240,0.289,0.313,0.386,0.395,0.404,0.386,0.318,0.321,0.304,0.283,0.399,0.314,1.270,0.119,0.357,0.028,0.017,0.214
23,0.69,0.02,0.28,5/15/2015,4300801.884,418219.8714,38.852242,-75.942467,IMG_0250.JPG,cereal_soy,Yes,0.069,0.087,0.125,0.159,0.187,0.240,0.289,0.313,0.386,0.395,0.404,0.386,0.318,0.321,0.304,0.283,0.399,0.314,1.270,0.119,0.357,0.028,0.017,0.214
24,0.74,0.03,0.22,5/15/2015,4300800.553,418219.8576,38.85223,-75.942467,IMG_0251.JPG,cereal_soy,Yes,0.068,0.085,0.122,0.155,0.182,0.235,0.285,0.309,0.385,0.392,0.401,0.383,0.314,0.318,0.300,0.279,0.396,0.311,1.276,0.121,0.361,0.028,0.017,0.221
25,0.76,0.02,0.22,5/15/2015,4300795.912,418217.8137,38.852188,-75.94249,IMG_0252.JPG,cereal_soy,Yes,0.069,0.084,0.119,0.151,0.177,0.230,0.278,0.303,0.377,0.388,0.397,0.380,0.314,0.318,0.300,0.279,0.392,0.311,1.262,0.116,0.344,0.028,0.018,0.223
26,0.64,0.01,0.35,5/15/2015,4300788.74,418213.8345,38.852123,-75.942535,IMG_0253.JPG,cereal_soy,Yes,0.073,0.087,0.122,0.154,0.179,0.229,0.277,0.301,0.375,0.392,0.399,0.384,0.320,0.322,0.305,0.284,0.395,0.316,1.252,0.112,0.335,0.028,0.018,0.214
27,0.64,0.02,0.34,5/15/2015,4300782.463,418209.0834,38.852066,-75.942589,IMG_0254.JPG,cereal_soy,Yes,0.074,0.089,0.124,0.157,0.183,0.232,0.279,0.302,0.377,0.392,0.399,0.383,0.319,0.322,0.304,0.283,0.396,0.315,1.256,0.114,0.340,0.028,0.017,0.207
28,0.75,0.02,0.22,5/15/2015,4300781.269,418206.4675,38.852055,-75.942619,IMG_0255.JPG,cereal_soy,Yes,0.074,0.089,0.124,0.157,0.183,0.232,0.279,0.302,0.377,0.392,0.399,0.383,0.319,0.322,0.304,0.283,0.396,0.315,1.256,0.114,0.340,0.028,0.017,0.207
29,0.68,0.02,0.3,5/15/2015,4300772.718,418206.9868,38.851978,-75.942612,IMG_0256.JPG,cereal_soy,Yes,0.072,0.087,0.124,0.158,0.185,0.235,0.282,0.305,0.379,0.390,0.398,0.381,0.314,0.318,0.301,0.281,0.394,0.311,1.267,0.118,0.349,0.028,0.017,0.208
30,0.59,0.02,0.38,5/15/2015,4300766.884,418202.327,38.851925,-75.942665,IMG_0257.JPG,cereal_soy,Yes,0.077,0.092,0.128,0.160,0.186,0.237,0.284,0.308,0.380,0.393,0.400,0.384,0.321,0.323,0.307,0.288,0.396,0.317,1.251,0.112,0.335,0.026,0.016,0.209
31,0.59,0.03,0.37,5/15/2015,4300763.451,418201.5973,38.851894,-75.942673,IMG_0258.JPG,cereal_soy,Yes,0.082,0.096,0.133,0.165,0.190,0.241,0.288,0.312,0.382,0.397,0.403,0.388,0.327,0.328,0.313,0.295,0.400,0.323,1.240,0.107,0.326,0.024,0.015,0.204
32,0.67,0.03,0.28,5/15/2015,4300758.457,418201.5458,38.851849,-75.942673,IMG_0259.JPG,cereal_soy,Yes,0.082,0.096,0.133,0.167,0.191,0.244,0.290,0.314,0.384,0.398,0.405,0.390,0.329,0.331,0.316,0.298,0.402,0.325,1.236,0.105,0.323,0.023,0.015,0.207
33,0.74,0.04,0.22,5/15/2015,4300762.127,418211.5638,38.851883,-75.942558,IMG_0260.JPG,cereal_soy,Yes,0.071,0.087,0.124,0.157,0.182,0.237,0.285,0.308,0.380,0.388,0.398,0.381,0.315,0.318,0.301,0.280,0.393,0.311,1.262,0.116,0.344,0.027,0.017,0.221
34,0.01,0,0.99,5/15/2015,4300740.105,418291.4381,38.851692,-75.941635,IMG_0265.JPG,maize,No,0.070,0.081,0.119,0.153,0.176,0.211,0.241,0.253,0.318,0.331,0.327,0.325,0.302,0.290,0.298,0.286,0.329,0.297,1.110,0.052,0.138,-0.012,-0.007,0.155
35,0.02,0,0.98,5/15/2015,4300741.403,418294.7493,38.851704,-75.941597,IMG_0266.JPG,maize,No,0.070,0.081,0.120,0.154,0.178,0.213,0.244,0.256,0.320,0.333,0.330,0.327,0.303,0.292,0.299,0.287,0.332,0.298,1.112,0.053,0.141,-0.012,-0.007,0.156
36,0.04,0,0.97,5/15/2015,4300740.037,418298.033,38.851692,-75.941559,IMG_0267.JPG,maize,No,0.070,0.081,0.118,0.153,0.177,0.213,0.244,0.257,0.319,0.332,0.329,0.326,0.302,0.292,0.298,0.286,0.331,0.297,1.113,0.054,0.142,-0.011,-0.007,0.159
37,0.01,0,0.99,5/15/2015,4300737.007,418301.2996,38.851665,-75.941521,IMG_0268.JPG,maize,No,0.068,0.079,0.117,0.152,0.177,0.213,0.245,0.259,0.323,0.335,0.332,0.328,0.303,0.294,0.299,0.287,0.333,0.299,1.117,0.055,0.147,-0.010,-0.006,0.162
38,0.03,0,0.98,5/15/2015,4300733.2,418304.5581,38.851631,-75.941483,IMG_0269.JPG,maize,No,0.067,0.078,0.116,0.152,0.177,0.215,0.248,0.262,0.323,0.334,0.332,0.329,0.302,0.294,0.299,0.287,0.333,0.298,1.118,0.056,0.149,-0.008,-0.005,0.166
39,0.01,0,0.99,5/15/2015,4300731.071,418306.5322,38.851612,-75.94146,IMG_0270.JPG,maize,No,0.067,0.078,0.115,0.150,0.175,0.213,0.246,0.260,0.321,0.332,0.330,0.327,0.300,0.292,0.296,0.285,0.331,0.296,1.118,0.056,0.147,-0.008,-0.005,0.167
40,0.03,0,0.98,5/15/2015,4300728.026,418311.1872,38.851585,-75.941406,IMG_0271.JPG,maize,No,0.066,0.078,0.114,0.147,0.174,0.211,0.246,0.260,0.319,0.330,0.328,0.325,0.298,0.290,0.295,0.282,0.329,0.294,1.118,0.056,0.147,-0.008,-0.005,0.173
41,0,0,1,5/15/2015,4300724.629,418317.7477,38.851555,-75.94133,IMG_0272.JPG,maize,No,0.066,0.077,0.113,0.147,0.173,0.211,0.247,0.261,0.320,0.331,0.329,0.326,0.299,0.291,0.296,0.283,0.330,0.295,1.118,0.056,0.147,-0.009,-0.005,0.176
42,0.05,0,0.96,5/15/2015,4300723.666,418325.0277,38.851547,-75.941246,IMG_0273.JPG,maize,No,0.066,0.078,0.116,0.153,0.180,0.219,0.254,0.268,0.325,0.334,0.333,0.330,0.302,0.293,0.300,0.286,0.334,0.298,1.118,0.056,0.149,-0.011,-0.006,0.171
43,0.71,0.02,0.27,5/15/2015,4301110.524,418705.7261,38.855068,-75.936905,IMG_0278.JPG,cereal_soy,Yes,0.073,0.088,0.125,0.159,0.183,0.240,0.288,0.314,0.389,0.398,0.406,0.391,0.323,0.324,0.309,0.289,0.402,0.319,1.261,0.115,0.350,0.023,0.015,0.223
44,0.7,0.03,0.27,5/15/2015,4301113.52,418705.7569,38.855095,-75.936905,IMG_0279.JPG,cereal_soy,Yes,0.073,0.088,0.126,0.159,0.185,0.242,0.290,0.316,0.393,0.399,0.407,0.391,0.321,0.323,0.307,0.287,0.403,0.317,1.271,0.119,0.362,0.024,0.015,0.222
45,0.59,0.02,0.39,5/15/2015,4301113.069,418706.4465,38.855091,-75.936897,IMG_0280.JPG,cereal_soy,Yes,0.073,0.088,0.125,0.159,0.183,0.240,0.288,0.314,0.389,0.398,0.406,0.391,0.323,0.324,0.309,0.289,0.402,0.319,1.261,0.115,0.350,0.023,0.015,0.223
46,0.72,0.02,0.26,5/15/2015,4301111.808,418710.3386,38.85508,-75.936852,IMG_0281.JPG,cereal_soy,Yes,0.073,0.089,0.127,0.161,0.186,0.242,0.290,0.315,0.389,0.397,0.406,0.390,0.321,0.323,0.308,0.287,0.402,0.317,1.265,0.117,0.355,0.024,0.015,0.218
47,0.65,0.02,0.32,5/15/2015,4301110.449,418713.0148,38.855068,-75.936821,IMG_0282.JPG,cereal_soy,Yes,0.073,0.089,0.127,0.161,0.186,0.242,0.290,0.315,0.389,0.397,0.406,0.390,0.321,0.323,0.308,0.287,0.402,0.317,1.265,0.117,0.355,0.024,0.015,0.218
48,0.69,0.02,0.28,5/15/2015,4301108.273,418719.5878,38.855049,-75.936745,IMG_0283.JPG,cereal_soy,Yes,0.071,0.088,0.126,0.162,0.187,0.244,0.293,0.318,0.389,0.389,0.400,0.383,0.311,0.312,0.296,0.276,0.394,0.306,1.287,0.125,0.370,0.026,0.016,0.219
49,0.67,0.02,0.3,5/15/2015,4301104.896,418724.2393,38.855019,-75.936691,IMG_0284.JPG,cereal_soy,Yes,0.071,0.087,0.125,0.160,0.186,0.243,0.293,0.318,0.389,0.387,0.398,0.381,0.308,0.310,0.293,0.273,0.392,0.304,1.292,0.127,0.374,0.027,0.016,0.223
50,0.65,0.03,0.31,5/15/2015,4301104.889,418724.8466,38.855019,-75.936684,IMG_0285.JPG,cereal_soy,Yes,0.071,0.087,0.125,0.160,0.186,0.243,0.293,0.318,0.389,0.387,0.398,0.381,0.308,0.310,0.293,0.273,0.392,0.304,1.292,0.127,0.374,0.027,0.016,0.223
51,0.69,0.02,0.29,5/15/2015,4301100.91,418734.0913,38.854984,-75.936577,IMG_0286.JPG,cereal_soy,Yes,0.073,0.090,0.127,0.160,0.186,0.243,0.291,0.316,0.386,0.389,0.398,0.382,0.313,0.316,0.300,0.281,0.393,0.309,1.272,0.120,0.354,0.026,0.016,0.220
52,0.74,0.03,0.22,5/15/2015,4301099.649,418738.0702,38.854973,-75.936531,IMG_0287.JPG,cereal_soy,Yes,0.071,0.088,0.125,0.157,0.184,0.239,0.288,0.312,0.384,0.387,0.397,0.381,0.311,0.314,0.298,0.278,0.392,0.307,1.274,0.121,0.355,0.027,0.017,0.220
53,0.71,0.03,0.26,5/15/2015,4301113.2,418736.9075,38.855095,-75.936546,IMG_0288.JPG,cereal_soy,Yes,0.074,0.091,0.130,0.163,0.189,0.248,0.297,0.323,0.390,0.392,0.400,0.384,0.316,0.318,0.304,0.285,0.396,0.312,1.268,0.118,0.352,0.023,0.014,0.224
54,0.77,0.03,0.19,5/15/2015,4301124.685,418731.7317,38.855198,-75.936607,IMG_0289.JPG,cereal_soy,Yes,0.069,0.084,0.121,0.152,0.176,0.235,0.284,0.310,0.380,0.375,0.386,0.369,0.299,0.302,0.285,0.265,0.381,0.296,1.288,0.126,0.358,0.029,0.017,0.235
55,0.74,0.04,0.21,5/15/2015,4301132.709,418728.4296,38.85527,-75.936646,IMG_0290.JPG,cereal_soy,Yes,0.071,0.088,0.125,0.157,0.182,0.242,0.292,0.317,0.379,0.376,0.388,0.371,0.300,0.303,0.286,0.266,0.382,0.296,1.290,0.127,0.361,0.029,0.017,0.232
56,0.75,0.04,0.19,5/15/2015,4301140.85,418724.608,38.855343,-75.936691,IMG_0291.JPG,cereal_soy,Yes,0.070,0.086,0.123,0.154,0.178,0.239,0.290,0.315,0.377,0.374,0.386,0.370,0.298,0.302,0.285,0.264,0.380,0.295,1.289,0.126,0.359,0.028,0.017,0.238
57,0.7,0.03,0.27,5/15/2015,4301207.402,418674.2648,38.855938,-75.937279,IMG_0296.JPG,cereal_soy,Yes,0.070,0.088,0.125,0.159,0.187,0.243,0.294,0.317,0.382,0.378,0.391,0.373,0.292,0.297,0.279,0.257,0.385,0.290,1.329,0.141,0.401,0.031,0.018,0.223
58,0.76,0.04,0.2,5/15/2015,4301206.958,418674.2602,38.855934,-75.937279,IMG_0297.JPG,cereal_soy,Yes,0.070,0.088,0.125,0.159,0.187,0.243,0.294,0.317,0.382,0.378,0.391,0.373,0.292,0.297,0.279,0.257,0.385,0.290,1.329,0.141,0.401,0.031,0.018,0.223
59,0.7,0.03,0.26,5/15/2015,4301211.646,418671.705,38.855976,-75.937309,IMG_0298.JPG,cereal_soy,Yes,0.068,0.086,0.123,0.156,0.183,0.241,0.293,0.315,0.379,0.374,0.387,0.369,0.289,0.295,0.277,0.254,0.381,0.287,1.327,0.141,0.396,0.032,0.018,0.230
60,0.72,0.03,0.24,5/15/2015,4301212.554,418669.7184,38.855984,-75.937332,IMG_0299.JPG,cereal_soy,Yes,0.068,0.086,0.123,0.156,0.184,0.241,0.294,0.316,0.379,0.376,0.389,0.371,0.292,0.297,0.279,0.256,0.382,0.289,1.322,0.139,0.392,0.031,0.018,0.231
61,0.74,0.03,0.23,5/15/2015,4301218.893,418668.4818,38.856041,-75.937347,IMG_0300.JPG,cereal_soy,Yes,0.065,0.081,0.116,0.147,0.172,0.231,0.284,0.306,0.373,0.368,0.382,0.364,0.287,0.293,0.274,0.251,0.375,0.285,1.317,0.137,0.380,0.032,0.018,0.246
62,0.77,0.03,0.2,5/15/2015,4301225.669,418667.8571,38.856102,-75.937355,IMG_0301.JPG,cereal_soy,Yes,0.062,0.078,0.111,0.141,0.165,0.222,0.274,0.297,0.364,0.358,0.372,0.355,0.277,0.283,0.265,0.240,0.365,0.275,1.328,0.141,0.380,0.034,0.019,0.249
63,0.75,0.02,0.23,5/15/2015,4301228.658,418668.582,38.856129,-75.937347,IMG_0302.JPG,cereal_soy,Yes,0.062,0.078,0.111,0.141,0.165,0.222,0.274,0.297,0.364,0.358,0.372,0.355,0.277,0.283,0.265,0.240,0.365,0.275,1.328,0.141,0.380,0.034,0.019,0.249
64,0.82,0.03,0.15,5/15/2015,4301234.041,418673.9308,38.856178,-75.937286,IMG_0303.JPG,cereal_soy,Yes,0.062,0.079,0.112,0.142,0.167,0.222,0.274,0.296,0.369,0.367,0.380,0.362,0.282,0.288,0.269,0.245,0.373,0.279,1.336,0.144,0.395,0.034,0.019,0.243
65,0.7,0.03,0.27,5/15/2015,4301231.852,418681.8051,38.856159,-75.937195,IMG_0304.JPG,cereal_soy,Yes,0.067,0.086,0.122,0.155,0.184,0.239,0.292,0.314,0.385,0.385,0.398,0.379,0.298,0.304,0.287,0.263,0.392,0.297,1.321,0.138,0.401,0.030,0.017,0.226
66,0.74,0.04,0.22,5/15/2015,4301222.865,418692.2999,38.856079,-75.937073,IMG_0305.JPG,cereal_soy,Yes,0.068,0.088,0.125,0.159,0.188,0.243,0.296,0.320,0.387,0.382,0.395,0.375,0.294,0.299,0.281,0.259,0.389,0.292,1.334,0.143,0.409,0.032,0.018,0.224
67,0.72,0.03,0.25,5/15/2015,4301213.072,418694.8895,38.855991,-75.937042,IMG_0306.JPG,cereal_soy,Yes,0.065,0.084,0.119,0.151,0.177,0.236,0.288,0.314,0.379,0.371,0.384,0.366,0.287,0.292,0.274,0.252,0.378,0.285,1.327,0.141,0.392,0.032,0.018,0.240
68,0.75,0.03,0.2,5/15/2015,4301204.174,418696.7941,38.855911,-75.937019,IMG_0307.JPG,cereal_soy,Yes,0.067,0.085,0.122,0.155,0.182,0.240,0.291,0.315,0.385,0.378,0.391,0.373,0.295,0.299,0.281,0.258,0.385,0.292,1.320,0.138,0.393,0.032,0.019,0.229
69,0.02,0.05,0.91,5/15/2015,4301145.513,419049.7311,38.855415,-75.932945,IMG_0312.JPG,soy,No,0.105,0.124,0.180,0.227,0.250,0.316,0.360,0.381,0.460,0.463,0.458,0.449,0.408,0.394,0.402,0.388,0.460,0.401,1.147,0.069,0.249,-0.009,-0.007,0.180
70,0,0.02,0.96,5/15/2015,4301145.513,419049.7311,38.855415,-75.932945,IMG_0313.JPG,soy,No,0.105,0.124,0.180,0.227,0.250,0.316,0.360,0.381,0.460,0.463,0.458,0.449,0.408,0.394,0.402,0.388,0.460,0.401,1.147,0.069,0.249,-0.009,-0.007,0.180
71,0.03,0.03,0.92,5/15/2015,4301149.35,419054.3696,38.85545,-75.932892,IMG_0314.JPG,soy,No,0.100,0.118,0.174,0.222,0.243,0.313,0.357,0.377,0.443,0.453,0.446,0.440,0.412,0.398,0.406,0.398,0.450,0.405,1.109,0.052,0.187,-0.010,-0.008,0.190
72,0.05,0.03,0.91,5/15/2015,4301154.242,419064.3992,38.855495,-75.932777,IMG_0315.JPG,soy,No,0.111,0.133,0.188,0.237,0.263,0.319,0.356,0.372,0.447,0.459,0.452,0.445,0.425,0.410,0.418,0.412,0.456,0.418,1.091,0.044,0.160,-0.009,-0.008,0.150
73,0.01,0.03,0.95,5/15/2015,4301159.259,419073.0416,38.855541,-75.932678,IMG_0316.JPG,soy,No,0.119,0.140,0.195,0.243,0.270,0.327,0.366,0.385,0.453,0.471,0.463,0.455,0.435,0.422,0.428,0.419,0.467,0.428,1.090,0.043,0.163,-0.007,-0.006,0.151
74,0.03,0.03,0.94,5/15/2015,4301166.364,419083.7012,38.855606,-75.932556,IMG_0317.JPG,soy,No,0.116,0.137,0.190,0.236,0.263,0.320,0.359,0.378,0.447,0.466,0.457,0.451,0.430,0.417,0.422,0.413,0.461,0.423,1.091,0.043,0.162,-0.006,-0.005,0.154
75,0.01,0.04,0.9,5/15/2015,4301169.757,419088.3351,38.855637,-75.932503,IMG_0318.JPG,soy,No,0.116,0.136,0.188,0.234,0.260,0.317,0.356,0.375,0.448,0.466,0.458,0.451,0.430,0.418,0.423,0.414,0.462,0.423,1.091,0.044,0.163,-0.006,-0.005,0.156
76,0.01,0.04,0.93,5/15/2015,4301171.804,419094.3438,38.855656,-75.932434,IMG_0319.JPG,soy,No,0.116,0.137,0.190,0.237,0.263,0.319,0.360,0.379,0.443,0.461,0.453,0.445,0.425,0.412,0.418,0.409,0.457,0.419,1.091,0.043,0.161,-0.007,-0.005,0.155
77,0,0.04,0.96,5/15/2015,4301182.293,419099.7444,38.855751,-75.932373,IMG_0320.JPG,soy,No,0.116,0.137,0.189,0.236,0.262,0.319,0.358,0.376,0.429,0.447,0.437,0.431,0.412,0.398,0.405,0.396,0.442,0.405,1.091,0.043,0.155,-0.009,-0.007,0.154
78,0.01,0.04,0.96,5/15/2015,4301191.198,419097.1452,38.855831,-75.932404,IMG_0321.JPG,soy,No,0.114,0.135,0.187,0.233,0.258,0.314,0.351,0.369,0.425,0.443,0.434,0.427,0.408,0.394,0.401,0.393,0.438,0.401,1.093,0.045,0.158,-0.009,-0.007,0.152
79,0,0.05,0.95,5/15/2015,4301189.136,419092.5248,38.855812,-75.932457,IMG_0322.JPG,soy,No,0.114,0.136,0.189,0.235,0.261,0.317,0.355,0.374,0.429,0.447,0.439,0.431,0.412,0.398,0.404,0.396,0.443,0.405,1.094,0.045,0.161,-0.008,-0.006,0.152
80,0.04,0.04,0.91,5/15/2015,4301186.658,419085.2101,38.855789,-75.932541,IMG_0323.JPG,soy,No,0.115,0.136,0.188,0.235,0.261,0.318,0.357,0.376,0.443,0.460,0.452,0.444,0.424,0.411,0.416,0.407,0.456,0.417,1.093,0.044,0.164,-0.005,-0.005,0.155
81,0.02,0.03,0.93,5/15/2015,4301184.597,419080.5898,38.85577,-75.932594,IMG_0324.JPG,soy,No,0.114,0.135,0.187,0.234,0.260,0.316,0.355,0.373,0.444,0.460,0.453,0.445,0.425,0.412,0.417,0.408,0.457,0.418,1.092,0.044,0.163,-0.006,-0.005,0.154
82,0.02,0.03,0.94,5/15/2015,4301182.092,419075.8782,38.855747,-75.932648,IMG_0325.JPG,soy,No,0.113,0.134,0.187,0.235,0.261,0.317,0.355,0.373,0.441,0.458,0.451,0.443,0.423,0.410,0.415,0.406,0.454,0.416,1.092,0.044,0.162,-0.006,-0.005,0.154
83,0.86,0.01,0.14,5/15/2015,4300070.45,417305.1787,38.845566,-75.952919,IMG_0331.JPG,cereal_soy,Yes,0.077,0.088,0.117,0.145,0.169,0.212,0.263,0.293,0.379,0.412,0.418,0.406,0.346,0.351,0.330,0.309,0.415,0.342,1.213,0.096,0.307,0.031,0.021,0.218
84,0.69,0,0.31,5/15/2015,4300068.786,417305.1614,38.845551,-75.952919,IMG_0332.JPG,cereal_soy,Yes,0.074,0.084,0.111,0.136,0.159,0.203,0.255,0.284,0.373,0.407,0.414,0.402,0.339,0.346,0.323,0.302,0.411,0.336,1.222,0.100,0.315,0.034,0.022,0.232
